"timestamp","deviceId","temp","humid","batt","co2","mic"
1606561789,"12",22.66,51.41,4.324805,901,0.43
1606561776,"12",22.61,51.35,4.318359,900,0.43
1606561762,"12",22.57,51.51,4.318359,903,0.4
1606561749,"12",22.56,51.49,4.318359,902,0.38
1606561736,"12",22.54,51.4,4.318359,902,0.39
1606561723,"12",22.5,51.57,4.324805,901,0.54
1606561709,"12",22.46,51.77,4.324805,901,0.51
1606561699,"12",22.46,51.66,4.324805,899,0.43
1606561683,"12",22.46,51.81,4.324805,899,0.43
1606561670,"12",22.43,51.64,4.318359,898,0.49
1606561656,"12",22.43,51.77,4.324805,898,0.43
1606561643,"12",22.4,51.63,4.318359,895,0.41
1606561630,"12",22.37,51.67,4.318359,894,0.37
1606561617,"12",22.33,51.78,4.324805,894,0.4
1606561604,"12",22.36,51.62,4.324805,892,0.41
1606561590,"12",22.33,51.71,4.318359,889,0.7
1606561577,"12",22.3,51.98,4.324805,888,0.43
1606561564,"12",22.29,51.7,4.324805,893,0.55
1606561551,"12",22.26,51.77,4.324805,895,0.43
1606561537,"12",22.27,51.71,4.324805,895,0.39
1606561524,"12",22.27,51.9,4.318359,890,0.42
1606561511,"12",22.24,51.79,4.324805,888,0.43
1606561498,"12",22.23,51.85,4.318359,884,0.45
1606561485,"12",22.21,51.82,4.324805,880,0.39
1606561471,"12",22.2,51.92,4.318359,879,0.43
1606561458,"12",22.19,51.77,4.318359,863,0.53
1606561445,"12",22.17,51.72,4.324805,858,0.48
1606561432,"12",22.19,51.84,4.324805,855,0.51
1606561418,"12",22.16,51.8,4.324805,853,0.41
1606561405,"12",22.16,51.67,4.324805,850,0.4
1606561392,"12",22.12,51.6,4.324805,850,0.41
1606561379,"12",22.13,51.55,4.318359,847,0.38
1606561366,"12",22.15,51.35,4.318359,844,0.5
1606561352,"12",22.2,51.28,4.318359,840,0.53
1606561339,"12",22.21,51.34,4.324805,840,0.41
1606561326,"12",22.21,51.74,4.318359,837,0.46
1606561313,"12",22.17,51.8,4.324805,838,0.42
1606561299,"12",22.17,51.74,4.324805,839,0.63
1606561286,"12",22.2,51.61,4.318359,841,0.45
1606561273,"12",22.21,51.61,4.33125,840,0.41
1606561260,"12",22.16,51.69,4.324805,840,0.53
1606561247,"12",22.21,51.76,4.318359,842,0.39
1606561233,"12",22.15,51.7,4.318359,842,0.41
1606561220,"12",22.16,51.68,4.33125,842,0.38
1606561207,"12",22.21,51.66,4.318359,842,0.39
1606561194,"12",22.21,51.79,4.324805,842,0.39
1606561180,"12",22.17,51.82,4.324805,843,0.39
1606561167,"12",22.23,51.62,4.311914,844,0.39
1606561154,"12",22.24,51.62,4.324805,843,0.38
1606561141,"12",22.24,51.77,4.318359,844,0.39
1606561128,"12",22.19,51.88,4.318359,844,0.42
1606561114,"12",22.17,51.89,4.324805,843,1.29
1606561101,"12",22.16,52.16,4.324805,843,0.43
1606561088,"12",22.15,52.18,4.324805,843,0.41
1606561075,"12",22.15,52.25,4.324805,843,0.48
1606561061,"12",22.13,52.19,4.324805,842,0.48
1606561048,"12",22.13,52.12,4.324805,842,0.4
1606561035,"12",22.16,52.04,4.318359,841,0.43
1606561022,"12",22.17,52.12,4.324805,839,0.44
1606561009,"12",22.15,52.05,4.324805,841,0.4
1606560995,"12",22.15,52,4.318359,842,0.38
1606560982,"12",22.16,52.14,4.318359,841,0.4
1606560969,"12",22.15,52.16,4.318359,840,0.38
1606560956,"12",22.17,52.27,4.318359,839,0.41
1606560942,"12",22.17,52.2,4.324805,838,0.39
1606560929,"12",22.15,52.14,4.318359,841,0.4
1606560916,"12",22.17,52.04,4.324805,843,0.39
1606560903,"12",22.2,51.91,4.324805,844,0.4
1606560890,"12",22.2,51.92,4.324805,844,0.38
1606560876,"12",22.2,51.92,4.318359,846,0.38
1606560863,"12",22.19,51.89,4.324805,846,0.41
1606560850,"12",22.24,51.94,4.318359,847,0.38
1606560837,"12",22.23,51.88,4.324805,846,0.39
1606560823,"12",22.23,51.86,4.318359,844,0.39
1606560810,"12",22.24,51.9,4.324805,844,0.39
1606560797,"12",22.27,51.95,4.324805,841,0.38
1606560784,"12",22.23,52.17,4.324805,840,0.39
1606560770,"12",22.2,52.1,4.324805,840,0.38
1606560757,"12",22.21,52.04,4.318359,840,0.39
1606560744,"12",22.23,51.98,4.324805,839,0.4
1606560731,"12",22.26,51.95,4.318359,840,0.4
1606560718,"12",22.29,51.91,4.318359,840,0.46
1606560704,"12",22.26,51.97,4.324805,842,0.4
1606560691,"12",22.27,51.97,4.318359,841,0.39
1606560678,"12",22.29,52.08,4.324805,842,0.39
1606560665,"12",22.21,51.94,4.318359,842,0.39
1606560651,"12",22.26,51.95,4.318359,842,0.38
1606560638,"12",22.27,51.83,4.324805,842,0.39
1606560625,"12",22.31,51.82,4.324805,841,0.39
1606560612,"12",22.34,51.8,4.318359,842,0.39
1606560599,"12",22.34,51.8,4.318359,840,0.38
1606560585,"12",22.33,51.8,4.324805,840,0.4
1606560572,"12",22.31,51.8,4.324805,840,0.39
1606560559,"12",22.37,51.78,4.318359,840,0.39
1606560546,"12",22.33,51.83,4.324805,838,0.39
1606560532,"12",22.31,51.84,4.318359,838,0.39
1606560519,"12",22.34,51.79,4.324805,837,0.4
1606560506,"12",22.34,51.8,4.318359,834,0.4
1606560493,"12",22.33,51.95,4.324805,836,0.4
1606560480,"12",22.34,51.88,4.318359,834,0.4
1606560466,"12",22.31,51.82,4.324805,835,0.4
1606560453,"12",22.34,51.71,4.318359,835,0.4
1606560440,"12",22.34,51.8,4.318359,833,0.39
1606560427,"12",22.31,51.77,4.318359,833,0.4
1606560413,"12",22.36,51.71,4.324805,833,0.39
1606560400,"12",22.33,51.74,4.318359,833,0.41
1606560387,"12",22.36,51.68,4.324805,834,0.39
1606560374,"12",22.34,51.73,4.318359,833,0.39
1606560361,"12",22.34,51.73,4.318359,836,0.39
1606560347,"12",22.36,51.81,4.324805,834,0.4
1606560334,"12",22.34,51.76,4.318359,836,0.39
1606560321,"12",22.37,51.65,4.324805,837,0.39
1606560308,"12",22.4,51.73,4.318359,835,0.39
1606560294,"12",22.43,51.63,4.318359,836,0.4
1606560281,"12",22.4,51.61,4.33125,836,0.4
1606560268,"12",22.44,51.67,4.324805,834,0.38
1606560255,"12",22.43,51.78,4.324805,834,0.53
1606560242,"12",22.4,51.67,4.324805,834,0.4
1606560228,"12",22.41,51.72,4.318359,835,0.4
1606560215,"12",22.41,51.77,4.318359,835,0.39
1606560202,"12",22.43,51.77,4.318359,832,0.39
1606560189,"12",22.41,51.82,4.324805,832,0.39
1606560175,"12",22.43,51.71,4.318359,834,0.4
1606560162,"12",22.47,51.64,4.324805,833,0.4
1606560149,"12",22.47,51.63,4.324805,832,0.39
1606560136,"12",22.5,51.57,4.318359,831,0.4
1606560123,"12",22.49,51.54,4.324805,831,0.4
1606560109,"12",22.5,51.57,4.324805,832,0.39
1606560096,"12",22.49,51.73,4.324805,831,0.39
1606560083,"12",22.49,51.58,4.324805,831,0.39
1606560070,"12",22.49,51.53,4.318359,830,0.4
1606560056,"12",22.5,51.47,4.318359,830,0.4
1606560043,"12",22.54,51.48,4.324805,830,0.39
1606560030,"12",22.54,51.49,4.324805,828,0.41
1606560017,"12",22.54,51.57,4.324805,829,0.41
1606560004,"12",22.53,51.6,4.324805,830,0.38
1606559990,"12",22.5,51.52,4.318359,829,0.4
1606559977,"12",22.56,51.46,4.324805,829,0.39
1606559964,"12",22.56,51.34,4.324805,830,0.41
1606559951,"12",22.53,51.4,4.324805,832,0.39
1606559937,"12",22.59,51.42,4.324805,831,0.41
1606559924,"12",22.57,51.45,4.324805,830,0.39
1606559911,"12",22.57,51.38,4.318359,828,0.39
1606559898,"12",22.54,51.43,4.324805,829,0.39
1606559885,"12",22.59,51.4,4.324805,830,0.39
1606559871,"12",22.6,51.52,4.318359,830,0.38
1606559858,"12",22.57,51.46,4.324805,829,0.41
1606559845,"12",22.61,51.5,4.324805,831,0.4
1606559832,"12",22.63,51.32,4.324805,832,0.4
1606559818,"12",22.68,51.18,4.318359,832,0.4
1606559805,"12",22.72,51.14,4.318359,835,0.37
1606559792,"12",22.71,51.28,4.318359,836,0.4
1606559779,"12",22.71,51.25,4.318359,838,0.56
1606559766,"12",22.77,51.19,4.324805,840,0.42
1606559752,"12",22.77,51.05,4.324805,841,0.4
1606559739,"12",22.8,51.16,4.318359,839,0.4
1606559726,"12",22.78,51.13,4.324805,837,0.39
1606559713,"12",22.81,51.18,4.318359,837,0.39
1606559699,"12",22.78,51.25,4.318359,836,0.4
1606559686,"12",22.78,51.23,4.324805,836,0.39
1606559673,"12",22.78,51.14,4.318359,834,0.39
1606559660,"12",22.82,51.14,4.324805,831,0.38
1606559647,"12",22.8,51.2,4.324805,831,0.4
1606559633,"12",22.78,51.24,4.318359,830,0.4
1606559620,"12",22.81,51.19,4.318359,827,0.41
1606559607,"12",22.81,51.12,4.324805,826,0.39
1606559594,"12",22.82,51.05,4.311914,826,0.4
1606559580,"12",22.85,50.94,4.318359,827,0.38
1606559567,"12",22.85,50.93,4.324805,824,0.4
1606559554,"12",22.88,50.92,4.318359,825,0.41
1606559541,"12",22.88,50.82,4.324805,824,0.39
